,text
0,doctors hit campaign trail race medical council elections heats
1,anybody going radio station tomorrow see shawn friend may go but would like make new friendsmeet 
2,found naruto didnt become th hokage
3,prince george reservist died saturday wanted help people father tells cbcnews
4,season sun versi nirvana rancak gakslow rockkk
5,didnt id never see sun mtvstars lady gaga
6,cute thisisus nbcthisisus
7,today international day elimination violence against women orangetheworld unitednations unodc‚ä¶
8,in first game back since april david wright went for hr bb three r monday also made two errors b
9,josh hamilton flies center going bottom th tied  nevereverquit
10,watch trump protest shut parts new york city sinessinsider
11,wanna see basse try dark souls  see vid below dark souls ii last giantst boss srezdhink via youtube
12, hour shift consist thinking ed sheeran tomorrow
13,seriously debating going see paper towns tomorrow
14,rafalhill dumptrump pay backs senior citizens medicare services shame them
15,stop posting picture its january charlie hebdo attacks not tonight snjywd
16,david price toronto blue jays offense
17,buying scuba suit underwater scenes sharknado tomorrow
18,kanye west carried speech vmas
19,royalairforce exporting british values since liberty democracy look like libya sdlssh
20,csmcphlospher arepaeater good description maduro pin head thank you
21,new  niall us open today today sept  
22,bupaaustralia gordypls cover homeopathy
23,assad troops taken  percent rebelheld aleppo russia says stcoinnkpoyne
24,death death no else go aleppo syria standwithaleppo st
25,lilyinthefield im not going something thats not true muslims may criminals but doesnt mean islam evil
26,musicmaniastoke hi guys new iron maiden vinyl tomorrow
27,realdonaldtrump directly addressing american people info transition website news video
28,five years leaving planet sun ra premiered tone poem new york town featuring sections like twilight central park
29,fun friday mashup gt nellys hot mashed bee gees stayin alive
30,mntwins rally beath white sox  tuesday night
31,teenskids saying old dude paul mccartney may chance music biz hahaha sooo green these
32,its officially pga week dustin johnson nd last time hes pick
33,please donate whatever can stcokhihuuny
34,happy birthday dude samsho jason aldean bout live come th
35,waysandmeansgop poroshenko end problems  laundering  currency conversion problems eximbankus  china
36,gilmoregirlstop luke emily gilmore sukie paris
37,im going th fabrique milan italy  apr sodq
38,u  concert park long week chillin familyth grade flashback
39,fact listen zac brown band gloomy day sun comes
40,happy friday national hot dog day over doesnt mean cant still hot dog recipe fun with
41,ivanka playing flotus preselect drumpf ivanka drumpf move white house ‚äòto fill melania‚äôs vacancy‚äô simanvlmlu
42,tim duncan played one season wouldve able call  savage üòî
43,may nakita akong sos vamps shirts want want want
44,scotland v germany tonight foo fighters tomorrow pile work get meantime whos doing coffee run
45,reason know john cena bully rd grade wrote name sharpie over backpack
46,rgerrardactor picture january  charlie hebdo attack
47,tristan mcdaniel scores one yard give milan  lead humboldt  leftst
48,joannahausmann wait maduros turn
49,tor beats min david prices debut jays move tie nd wild card twins os  gb
50,if could win golf tournamentst day dustin johnson would  majors now
51,undertaker gonna tombstone shit brock lesnar sunday
52,persuasive speech depression sbmt pros cons death penalty
53,see saturday edsheeran   days  hours minutes  seconds ed sheeran atl countdown
54,cheeto nazi mad fat ass looks like tub curdled orange mayo pictures oh well
55,research paper minimum wage literally much could write abt subject but thats whats making hard üò≠
56,poroshenko focused ukraine step step implements refrom program stockworld
57,vid hide valuables inside hollowed decorative candle  smatter atr
58,hillary clinton caitlyn jenner nobel peace prize winner malala yousafzai kick offth season of
59, crazy things deep learning topological data analysis datanitaipartners bigdata dataminin‚ä¶
60,sensiblysecular tiffanyhaas giselletka may idea  written christians god totally off not willingtothink
61,yall fuckin it kendrick lamar  black friday topdawgent soundcloud
62,mrcuddles wwe monday might raw goat john cena
63,its hard year addition losing leonard cohen david bowie  californians also lost peter toshs legalize it rip
64,sushi coworkers apparently going la th im somehow stuck covering them star wars day
65,ffs fell asleep open position murray th set
66,theth hole seems good birdie hole dustin johnson birdiesthst hole move pgachamp
67,i think frank ocean release november hes music great summer ferrerorocherii xabisomkala nzamem
68,riverside yoga race street pier awesome way start day going get long run in its sunday funday tonight
69,reporter visiting islamic state terrirory mosuloffensive mosul isis iraq syria war islamicstate funny
70,hillaryclinton thankfully nice peaceful thanksgiving stillwithher
71,win tickets see ms janet jackson live afternoon richard ryder janet jackson live september at scbbqufecd
72,usa awesome republicans gay marriages tomorrow freedomofspeech
73,curtisschurer thanks curtis hope awesome fridayth
74,language may different but kpops genres western musics same stop acting like its outer space
75,ustheduo seriously two still asheville friday work dunkin west asheville make mean coolatta
76,hope sharknado  starts mcuban saving april aprillives
77,maelinn clevelannews toysrus but theyre gone now hatchimals
78,sturobson cracking rd party downloadable games too ps longterm console okish games mo imo
79,teresaedelglass supposed look like electoral college map need point leftists
80,semper entertainment brings nirvana time stands still best djs metro august at
81,youre weird guy euthanasia  suicide all marriage equality  everyone marries goat safe schools ‚ä¶
82,toysrus ur ceo gma said would plenty hatchimals ur kingstonma said didnt
83,on evening july  paul mccartney introduced john lennon first time
84,lawyerrogelio idiot trump meetings potus transition obama trying improve shi image military
85,if brendan ryan dodgers w david price opposing pitcher purposely swung  fastball wst rd 
86,watch stock go septth carly fiorina earned spot big stage gop debate
87,paul dunne said imagine ball tom rinaldis head first tee tomorrow theopen
88,sardesairajdeep whats wrong answer may applaud rahul gandhi open farce im happy pm whos not hypocrite
89,speakerryan help stop damn illegal foreign invasion america cant america borders  enforcement immigration laws
90,dmreporter british values they fear foreigners blaming immigration woes think told
91,üòá vine thewalkingdead
92,long read but worth it great insight power amp control ira newry chilling
93,yemen another lost damaged  hilarious stcojjuirsp
94,look soldiers push vehicle fidel castros ashes breaks procession stcoyybzkoeoy
95,next thursday going greatest day ever teachers already cancelled class tom brady leads pats tunnel
96,friday december also star wars day kojoshows politics hour guests encouraged join show costume
97,ahhhhh amazing cannot waitüë∏üèω beautyandthebeast üíôüíõ
98,if v leave yakub today tomorrow kill  innocent people kind justiceis ityakubdebate
99,hey pa um let register medical marijuana identification card plz also gets dispensaries thanks happy
100,jerrietrash libby stillwithher hi congrats picked go site description
101,liverpool echo martin odegaard spoke liverpool fc but real madrid best choice sqmivdfja lfc
102,youre trump critics opposite effect melania avenged bigger fashion designers m obamas
103,rally toronto condemns massacre aleppo  urges canada standwithaleppo  act stop bombings
104,older better frase que solo aplica para ricky martin
105,feel like muhammad ali
106,syria national defense force destroys sniper nest aleppo  video stcoyfookcf
107,election interference comey still million popular vote stillwithher auditthevote recount shhxmoa
